query_model;query_type;aggregation_type;aggregated_column;query_argument;aggregated_data;group_by;sensitivity
1;1;Contagem Alunos;CO_PESSOA_FISICA;COUNT(CO_PESSOA_FISICA) as qt_alunos;qt_alunos;NO_REGIAO;
1;2;Contagem Alunos;CO_PESSOA_FISICA;COUNT(CO_PESSOA_FISICA) as qt_alunos;qt_alunos;SG_UF;
1;3;Contagem Alunos;CO_PESSOA_FISICA;COUNT(CO_PESSOA_FISICA) as qt_alunos;qt_alunos;SG_UF, TP_SEXO;
1;4;Contagem Alunos;CO_PESSOA_FISICA;COUNT(CO_PESSOA_FISICA) as qt_alunos;qt_alunos;SG_UF, TP_SEXO, NU_IDADE;
1;5;Contagem Alunos;CO_PESSOA_FISICA;COUNT(CO_PESSOA_FISICA) as qt_alunos;qt_alunos;NO_MUNICIPIO;
1;6;Contagem Alunos;CO_PESSOA_FISICA;COUNT(CO_PESSOA_FISICA) as qt_alunos;qt_alunos;CO_ENTIDADE;
1;7;Contagem Alunos;CO_PESSOA_FISICA;COUNT(CO_PESSOA_FISICA) as qt_alunos;qt_alunos;CO_ENTIDADE, TP_SEXO;
1;8;Contagem Alunos;CO_PESSOA_FISICA;COUNT(CO_PESSOA_FISICA) as qt_alunos;qt_alunos;CO_ENTIDADE, TP_SEXO, NU_IDADE;
2;1;Média Nota;NU_NOTA;AVG(NU_NOTA) as media_nota;media_nota;NO_REGIAO;
2;2;Média Nota;NU_NOTA;AVG(NU_NOTA) as media_nota;media_nota;SG_UF;
2;3;Média Nota;NU_NOTA;AVG(NU_NOTA) as media_nota;media_nota;SG_UF, TP_RACA;
2;4;Média Nota;NU_NOTA;AVG(NU_NOTA) as media_nota;media_nota;SG_UF, TP_RACA, FX_ETARIA5;
2;5;Média Nota;NU_NOTA;AVG(NU_NOTA) as media_nota;media_nota;NO_MUNICIPIO;
2;6;Média Nota;NU_NOTA;AVG(NU_NOTA) as media_nota;media_nota;CO_ENTIDADE;
2;7;Média Nota;NU_NOTA;AVG(NU_NOTA) as media_nota;media_nota;CO_ENTIDADE, TP_RACA;
2;8;Média Nota;NU_NOTA;AVG(NU_NOTA) as media_nota;media_nota;CO_ENTIDADE, TP_RACA, FX_ETARIA5;
3;1;Soma Nota;NU_NOTA;SUM(NU_NOTA) as soma_notas;soma_notas;NO_REGIAO;
3;2;Soma Nota;NU_NOTA;SUM(NU_NOTA) as soma_notas;soma_notas;SG_UF;
3;3;Soma Nota;NU_NOTA;SUM(NU_NOTA) as soma_notas;soma_notas;SG_UF, FX_ETARIA5;
3;4;Soma Nota;NU_NOTA;SUM(NU_NOTA) as soma_notas;soma_notas;SG_UF, FX_ETARIA5, TP_RACA;
3;5;Soma Nota;NU_NOTA;SUM(NU_NOTA) as soma_notas;soma_notas;NO_MUNICIPIO;
3;6;Soma Nota;NU_NOTA;SUM(NU_NOTA) as soma_notas;soma_notas;CO_ENTIDADE;
3;7;Soma Nota;NU_NOTA;SUM(NU_NOTA) as soma_notas;soma_notas;CO_ENTIDADE, FX_ETARIA5;
3;8;Soma Nota;NU_NOTA;SUM(NU_NOTA) as soma_notas;soma_notas;CO_ENTIDADE, FX_ETARIA5, TP_RACA ;
